[14:21:53] [main/INFO]: ModLauncher running: args [--username, Melodi_Bug, --version, forge-47.3.0, --gameDir, C:\Users\melod\curseforge\minecraft\Instances\FancyCraft, --assetsDir, C:\Users\melod\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, b0b6b36226fb49329c84d9dfbd2166bd, --accessToken, ????????, --clientId, ZjMxMzRhMjMtMjFlNy00ZDVlLTljOTktMTcxMmZiM2M3MzM0, --xuid, 2535421268856048, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\melod\curseforge\minecraft\Install\quickPlay\java\1725510112228.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[14:21:53] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 11 arch amd64 version 10.0
[14:21:54] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[14:21:54] [main/INFO]: Trying GL version 4.6
[14:21:54] [main/INFO]: Requested GL version 4.6 got version 4.6
[14:21:54] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/melod/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[14:21:54] [pool-2-thread-1/INFO]: GL info: Intel(R) Iris(R) Xe Graphics GL version 4.6.0 - Build 31.0.101.5186, Intel
[14:21:55] [main/INFO]: Found mod file XaerosWorldMap_1.39.0_Forge_1.20.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file xptome-1.20.1-2.2.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file YungsApi-1.20-Forge-4.0.5.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file YungsBridges-1.20-Forge-4.0.3.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Zeta-1.0-24.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/WARN]: Mod file C:\Users\melod\curseforge\minecraft\Install\libraries\net\minecraftforge\fmlcore\1.20.1-47.3.0\fmlcore-1.20.1-47.3.0.jar is missing mods.toml file
[14:21:55] [main/WARN]: Mod file C:\Users\melod\curseforge\minecraft\Install\libraries\net\minecraftforge\javafmllanguage\1.20.1-47.3.0\javafmllanguage-1.20.1-47.3.0.jar is missing mods.toml file
[14:21:55] [main/WARN]: Mod file C:\Users\melod\curseforge\minecraft\Install\libraries\net\minecraftforge\lowcodelanguage\1.20.1-47.3.0\lowcodelanguage-1.20.1-47.3.0.jar is missing mods.toml file
[14:21:55] [main/WARN]: Mod file C:\Users\melod\curseforge\minecraft\Install\libraries\net\minecraftforge\mclanguage\1.20.1-47.3.0\mclanguage-1.20.1-47.3.0.jar is missing mods.toml file
[14:21:55] [main/INFO]: Found mod file fmlcore-1.20.1-47.3.0.jar of type LIBRARY with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@6eaa21d8
[14:21:55] [main/INFO]: Found mod file javafmllanguage-1.20.1-47.3.0.jar of type LANGPROVIDER with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@6eaa21d8
[14:21:55] [main/INFO]: Found mod file lowcodelanguage-1.20.1-47.3.0.jar of type LANGPROVIDER with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@6eaa21d8
[14:21:55] [main/INFO]: Found mod file mclanguage-1.20.1-47.3.0.jar of type LANGPROVIDER with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@6eaa21d8
[14:21:55] [main/INFO]: Found mod file client-1.20.1-20230612.114412-srg.jar of type MOD with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@6eaa21d8
[14:21:55] [main/INFO]: Found mod file forge-1.20.1-47.3.0-universal.jar of type MOD with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@6eaa21d8
[14:21:55] [main/WARN]: Attempted to select two dependency jars from JarJar which have the same identification: Mod File:  and Mod File: . Using Mod File: 
[14:21:55] [main/WARN]: Attempted to select a dependency jar for JarJar which was passed in as source: geckolib. Using Mod File: C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods\geckolib-forge-1.20.1-4.4.9.jar
[14:21:55] [main/INFO]: Found 15 dependencies adding them to mods collection
[14:21:55] [main/INFO]: Found mod file MixinSquared-0.1.1.jar of type GAMELIBRARY with provider net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator@5c080ef3
[14:21:55] [main/INFO]: Found mod file MixinExtras-0.3.6.jar of type GAMELIBRARY with provider net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator@5c080ef3
[14:21:55] [main/INFO]: Found mod file mixinextras-forge-0.3.6.jar of type GAMELIBRARY with provider net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator@5c080ef3
[14:21:55] [main/INFO]: Found mod file kuma-api-forge-20.1.8+1.20.1.jar of type MOD with provider net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator@5c080ef3
[14:21:55] [main/INFO]: Found mod file MathParser.org-mXparser-5.2.1.jar of type GAMELIBRARY with provider net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator@5c080ef3
[14:21:55] [main/INFO]: Found mod file jankson-1.2.3.jar of type GAMELIBRARY with provider net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator@5c080ef3
[14:21:55] [main/INFO]: Found mod file mixinsquared-forge-0.1.1.jar of type GAMELIBRARY with provider net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator@5c080ef3
[14:21:55] [main/INFO]: Found mod file yabn-1.0.3.jar of type GAMELIBRARY with provider net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator@5c080ef3
[14:21:55] [main/INFO]: Found mod file Registrate-MC1.20-1.3.3.jar of type GAMELIBRARY with provider net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator@5c080ef3
[14:21:55] [main/INFO]: Found mod file spectrelib-forge-0.13.15+1.20.1.jar of type MOD with provider net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator@5c080ef3
[14:21:55] [main/INFO]: Found mod file mclib-20.jar of type GAMELIBRARY with provider net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator@5c080ef3
[14:21:55] [main/INFO]: Found mod file puzzlesaccessapi-forge-8.0.7.jar of type MOD with provider net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator@5c080ef3
[14:21:55] [main/INFO]: Found mod file expandability-forge-9.0.4.jar of type MOD with provider net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator@5c080ef3
[14:21:55] [main/INFO]: Found mod file bytecodecs-1.0.2.jar of type GAMELIBRARY with provider net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator@5c080ef3
[14:21:55] [main/INFO]: Found mod file flywheel-forge-1.20.1-0.6.11-13.jar of type MOD with provider net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator@5c080ef3
[14:21:57] [main/INFO]: Compatibility level set to JAVA_17
[14:21:57] [main/INFO]: Launching target 'forgeclient' with arguments [--version, forge-47.3.0, --gameDir, C:\Users\melod\curseforge\minecraft\Instances\FancyCraft, --assetsDir, C:\Users\melod\curseforge\minecraft\Install\assets, --uuid, b0b6b36226fb49329c84d9dfbd2166bd, --username, Melodi_Bug, --assetIndex, 5, --accessToken, ????????, --clientId, ZjMxMzRhMjMtMjFlNy00ZDVlLTljOTktMTcxMmZiM2M3MzM0, --xuid, 2535421268856048, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\melod\curseforge\minecraft\Install\quickPlay\java\1725510112228.json]
[14:21:57] [main/WARN]: Reference map 'grapplemod.refmap.json' for grapplemod.mixins.json could not be read. If this is a development environment you can ignore this message
[14:21:57] [main/INFO]: Loaded configuration file for ModernFix 5.19.4+mc1.20.1: 84 options available, 0 override(s) found
[14:21:57] [main/INFO]: Applying Nashorn fix
[14:21:57] [main/INFO]: Applied Forge config corruption patch
[14:21:57] [main/INFO]: Loaded configuration file for Embeddium: 193 options available, 0 override(s) found
[14:21:57] [main/INFO]: Searching for graphics cards...
[14:21:57] [main/INFO]: Found graphics card: GraphicsAdapterInfo[vendor=NVIDIA, name=NVIDIA GeForce RTX 4070 Laptop GPU, version=DriverVersion=32.0.15.5612]
[14:21:57] [main/INFO]: Found graphics card: GraphicsAdapterInfo[vendor=INTEL, name=Intel(R) Iris(R) Xe Graphics, version=DriverVersion=31.0.101.5186]
[14:21:57] [main/WARN]: Embeddium has applied one or more workarounds to prevent crashes or other issues on your system: [NVIDIA_THREADED_OPTIMIZATIONS]
[14:21:57] [main/WARN]: This is not necessarily an issue, but it may result in certain features or optimizations being disabled. You can sometimes fix these issues by upgrading your graphics driver.
[14:21:57] [main/WARN]: Reference map 'colorfulhearts-common-api-api_common-refmap.json' for colorfulhearts-common.mixins.json could not be read. If this is a development environment you can ignore this message
[14:21:58] [main/WARN]: Reference map 'mes-forge-refmap.json' for mes-forge.mixins.json could not be read. If this is a development environment you can ignore this message
[14:21:58] [main/INFO]: Loading 148 mods:
	- advancementplaques 1.5.1
	- ae2 15.2.13
	- ae2things 1.2.1
	- ae2wtlib 15.2.3-forge
	- alexsmobs 1.22.8
	- alltheores 2.2.4
	- ambientenvironment 11.0.0.1
	- amendments 1.20-1.2.9
		\-- mixinextras 0.3.6
	- appleskin 2.5.1+mc1.20.1
	- appmek 1.4.2
	- architectury 9.2.14
	- ars_nouveau 4.12.4
	- arseng 1.2.0
	- artifacts 9.5.13
		\-- expandability 9.0.4
	- athena 3.1.2
	- balm 7.3.9
		\-- kuma_api 20.1.8
	- bhc 1.20.1-1.0.5
	- biomesoplenty 18.0.0.592
	- blueprint 7.1.0
	- bookshelf 20.2.13
	- buildinggadgets2 1.0.7
	- cataclysm 1.99.5
	- chatcolours 1.20.1-3.1
	- chipped 3.0.6
	- citadel 2.6.0
	- cleanswing 1.20-1.5
	- cloth_config 11.1.118
	- clumps 12.0.0.4
	- cold_sweat 2.3.3
	- collective 7.84
	- colorfulhearts 4.3.15
	- comforts 6.4.0+1.20.1
	- constructionwand 1.20.1-2.11
	- controlling 12.0.2
	- cosmeticarmorreworked 1.20.1-v1a
	- crafting_on_a_stick 1.1.5
	- create 0.5.1.h
		\-- flywheel 0.6.11-13
	- create_sa 2.0.4.
	- createaddition 1.20.1-1.2.4e
	- creativecore 2.11.37
	- cristellib 1.1.5
	- cucumber 7.0.11
	- curios 5.10.0+1.20.1
	- dankstorage 13
	- darkutils 17.0.3
	- doubledoors 5.9
	- dynamictrees 1.20.1-1.3.0-BETA14
	- easy_villagers 1.20.1-1.1.21
	- embeddium 0.3.31+mc1.20.1
		\-- rubidium 0.7.1
	- enchdesc 17.1.18
	- endersdelight 1.0.3
	- enhanced_boss_bars 1.20.1-1.0.0
	- enhanced_mushrooms 5.0.0
	- enhancedvisuals 1.8.1
	- entityculling 1.7.0
	- explorify 1.6.1
	- farmersdelight 1.20.1-1.2.4
	- ferritecore 6.0.1
	- firstaid 1.20.1-1.1
	- forge 47.3.0
	- ftbchunks 2001.3.1
	- ftblibrary 2001.2.4
	- ftbquests 2001.4.8
	- ftbteams 2001.3.0
	- ftbultimine 2001.1.5
	- fusion 1.1.1
	- geckolib 4.4.9
	- grapplemod 1.20.1-v13
	- hostilenetworks 5.3.1
	- iceberg 1.1.21
	- immersive_aircraft 1.0.1+1.20.1
	- industrialforegoing 3.5.17
	- ironjetpacks 7.0.6
	- jade 11.11.1+forge
	- jei 15.12.2.51
	- legendarytooltips 1.4.5
	- lemoned 1.0.1-1.20
	- lionfishapi 1.9
	- lootr 0.7.34.87
	- mcd 1.0.0
	- mekanism 10.4.9
	- mekanismgenerators 10.4.9
	- mekanismtools 10.4.9
	- merequester 1.20.1-1.1.5
	- mes 1.3.1-1.20-forge
	- minecraft 1.20.1
	- modernfix 5.19.4+mc1.20.1
	- moonlight 1.20-2.12.17
	- mousetweaks 2.25.1
	- mowziesdelight 1.0.3.1-1.20.1
	- mowziesmobs 1.6.4
	- mysticalagriculture 7.0.12
	- naturescompass 1.20.1-1.11.2-forge
	- neat 1.20-35-FORGE
	- patchouli 1.20.1-84-FORGE
	- pigpen 15.0.2
	- placebo 8.6.2
	- polymorph 0.49.5+1.20.1
		\-- spectrelib 0.13.15+1.20.1
	- prism 1.0.5
	- puzzleslib 8.1.22
		\-- puzzlesaccessapi 8.0.7
	- quark 4.0-460
	- quarkdelight 1.0.0
	- quarryplus 1201.1.90
	- railways 1.6.5+forge-mc1.20.1
	- realistictorches 1.20.1-3.2.0
	- rechiseled 1.1.6
	- rechiseledcreate 1.0.2
	- resourcefullib 2.1.29
	- runelic 18.0.2
	- searchables 1.0.3
	- sereneseasons 9.0.0.46
	- silentcompat 1.4.0
	- silentgear 3.6.6
	- silentlib 8.0.0
	- skinlayers3d 1.6.7
	- sodiumextras 1.0.0
	- sophisticatedbackpacks 3.20.6.1064
	- sophisticatedcore 0.6.25.632
	- spartanweaponry 3.1.3
	- storagedrawers 12.6.4
	- structory 1.3.5
	- supermartijn642configlib 1.1.8
	- supermartijn642corelib 1.1.17+a
	- supplementaries 1.20-2.8.17
		\-- mixinsquared 0.1.1
	- t_and_t 0.0NONE
	- terrablender 3.0.1.7
	- terralith 2.5.4
	- thinair 8.1.5
	- thirst 1.20.1-1.3.9
	- titanium 3.8.32
	- tombstone 8.7.2
	- toolbelt 1.20.01
	- toolstats 16.0.8
	- wands 2.6.9-release
	- waystones 14.1.5
	- xaerominimap 24.3.0
	- xaeroworldmap 1.39.0
	- xpbook 2.2.1
	- yungsapi 1.20-Forge-4.0.5
	- yungsbridges 1.20-Forge-4.0.3
	- zeta 1.0-24
[14:21:58] [main/WARN]: Reference map 'cristellib-forge-refmap.json' for cristellib.mixins.json could not be read. If this is a development environment you can ignore this message
[14:21:58] [main/INFO]: Patching IForgeItemStack#getEnchantmentLevel
[14:21:58] [main/INFO]: Patching IForgeItemStack#getEnchantmentLevel
[14:21:59] [main/INFO]: Applying mixin HUDOverlayHandlerAccessor as mod appleskin is present.
[14:21:59] [main/INFO]: Applying mixin ComfortHealthOverlayMixin as mod farmersdelight is present.
[14:21:59] [main/WARN]: Error loading class: umpaz/brewinandchewin/common/block/entity/KegBlockEntity (java.lang.ClassNotFoundException: umpaz.brewinandchewin.common.block.entity.KegBlockEntity)
[14:21:59] [main/WARN]: @Mixin target umpaz.brewinandchewin.common.block.entity.KegBlockEntity was not found thirst.mixin.json:accessors.brewinandchewin.KegBlockEntityAccessor
[14:21:59] [main/WARN]: Error loading class: umpaz/brewinandchewin/common/block/entity/KegBlockEntity (java.lang.ClassNotFoundException: umpaz.brewinandchewin.common.block.entity.KegBlockEntity)
[14:21:59] [main/WARN]: @Mixin target umpaz.brewinandchewin.common.block.entity.KegBlockEntity was not found thirst.mixin.json:brewinandchewin.MixinKegBlockEntity
[14:21:59] [main/WARN]: Error loading class: umpaz/farmersrespite/common/block/entity/KettleBlockEntity (java.lang.ClassNotFoundException: umpaz.farmersrespite.common.block.entity.KettleBlockEntity)
[14:21:59] [main/WARN]: @Mixin target umpaz.farmersrespite.common.block.entity.KettleBlockEntity was not found thirst.mixin.json:farmersrespite.MixinKettleBlockEntity
[14:21:59] [main/WARN]: Error loading class: toughasnails/item/EmptyCanteenItem (java.lang.ClassNotFoundException: toughasnails.item.EmptyCanteenItem)
[14:21:59] [main/WARN]: @Mixin target toughasnails.item.EmptyCanteenItem was not found thirst.mixin.json:toughasnails.MixinEmptyCanteenItem
[14:21:59] [main/WARN]: Error loading class: toughasnails/config/ServerConfig (java.lang.ClassNotFoundException: toughasnails.config.ServerConfig)
[14:21:59] [main/WARN]: @Mixin target toughasnails.config.ServerConfig was not found thirst.mixin.json:toughasnails.MixinServerConfig
[14:21:59] [main/WARN]: Error loading class: toughasnails/thirst/ThirstHandler (java.lang.ClassNotFoundException: toughasnails.thirst.ThirstHandler)
[14:21:59] [main/WARN]: @Mixin target toughasnails.thirst.ThirstHandler was not found thirst.mixin.json:toughasnails.MixinThirstHandler
[14:21:59] [main/WARN]: Error loading class: toughasnails/thirst/ThirstHelperImpl (java.lang.ClassNotFoundException: toughasnails.thirst.ThirstHelperImpl)
[14:21:59] [main/WARN]: @Mixin target toughasnails.thirst.ThirstHelperImpl was not found thirst.mixin.json:toughasnails.MixinThirstHelperImpl
[14:21:59] [main/WARN]: Error loading class: toughasnails/client/handler/TooltipHandler (java.lang.ClassNotFoundException: toughasnails.client.handler.TooltipHandler)
[14:21:59] [main/WARN]: @Mixin target toughasnails.client.handler.TooltipHandler was not found thirst.mixin.json:toughasnails.MixinTooltipHandler
[14:21:59] [main/WARN]: Error loading class: umpaz/farmersrespite/client/gui/KettleScreen (java.lang.ClassNotFoundException: umpaz.farmersrespite.client.gui.KettleScreen)
[14:21:59] [main/WARN]: @Mixin target umpaz.farmersrespite.client.gui.KettleScreen was not found thirst.mixin.json:farmersrespite.MixinKettleScreen
[14:21:59] [main/WARN]: Error loading class: net/raphimc/immediatelyfast/feature/map_atlas_generation/MapAtlasTexture (java.lang.ClassNotFoundException: net.raphimc.immediatelyfast.feature.map_atlas_generation.MapAtlasTexture)
[14:21:59] [main/WARN]: Error loading class: com/mrbysco/spoiled/handler/SpoilHandler (java.lang.ClassNotFoundException: com.mrbysco.spoiled.handler.SpoilHandler)
[14:21:59] [main/WARN]: @Mixin target com.mrbysco.spoiled.handler.SpoilHandler was not found cold_sweat.mixin.json:compat.MixinSpoiledIcebox
[14:21:59] [main/WARN]: Error loading class: com/mrbysco/spoiled/config/SpoiledConfigCache (java.lang.ClassNotFoundException: com.mrbysco.spoiled.config.SpoiledConfigCache)
[14:21:59] [main/WARN]: @Mixin target com.mrbysco.spoiled.config.SpoiledConfigCache was not found cold_sweat.mixin.json:compat.MixinSpoiledIcebox$ContainerModifier
[14:22:00] [main/INFO]: Initializing MixinExtras via com.llamalad7.mixinextras.service.MixinExtrasServiceImpl(version=0.3.6).
[14:22:01] [main/INFO]: Patching IForgeItemStack#getEnchantmentLevel
[14:22:01] [main/INFO]: Patching IForgeItemStack#getEnchantmentLevel
[14:22:01] [pool-4-thread-1/INFO]: ModernFix reached bootstrap stage (9.049 s after launch)
[14:22:01] [pool-4-thread-1/WARN]: @Final field delegatesByName:Ljava/util/Map; in modernfix-forge.mixins.json:perf.forge_registry_alloc.ForgeRegistryMixin should be final
[14:22:01] [pool-4-thread-1/WARN]: @Final field delegatesByValue:Ljava/util/Map; in modernfix-forge.mixins.json:perf.forge_registry_alloc.ForgeRegistryMixin should be final
[14:22:01] [pool-4-thread-1/INFO]: Vanilla bootstrap took 671 milliseconds
[14:22:02] [pool-4-thread-1/INFO]: Patching IForgeItemStack#getEnchantmentLevel
[14:22:02] [pool-4-thread-1/INFO]: Patching IForgeItemStack#getEnchantmentLevel
[14:22:03] [pool-4-thread-1/WARN]: Static binding violation: PRIVATE @Overwrite method m_47505_ in modernfix-common.mixins.json:perf.remove_biome_temperature_cache.BiomeMixin cannot reduce visibiliy of PUBLIC target method, visibility will be upgraded.
[14:22:04] [pool-4-thread-1/INFO]: Registering content
[14:22:04] [Render thread/WARN]: Static binding violation: PRIVATE @Overwrite method m_166786_ in embeddium.mixins.json:features.render.immediate.buffer_builder.sorting.BufferBuilderMixin cannot reduce visibiliy of PUBLIC target method, visibility will be upgraded.
[14:22:04] [Render thread/WARN]: Assets URL 'union:/C:/Users/melod/curseforge/minecraft/Install/libraries/net/minecraft/client/1.20.1-20230612.114412/client-1.20.1-20230612.114412-srg.jar%23438!/assets/.mcassetsroot' uses unexpected schema
[14:22:04] [Render thread/WARN]: Assets URL 'union:/C:/Users/melod/curseforge/minecraft/Install/libraries/net/minecraft/client/1.20.1-20230612.114412/client-1.20.1-20230612.114412-srg.jar%23438!/data/.mcassetsroot' uses unexpected schema
[14:22:04] [Render thread/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[14:22:05] [Render thread/INFO]: Setting user: Melodi_Bug
[14:22:05] [Render thread/INFO]: Bypassed Mojang DFU
[14:22:05] [Render thread/INFO]: BeforeConstant is searching for constants in method with descriptor (Lnet/minecraft/network/chat/Component;Lnet/minecraft/client/GuiMessageTag;)V
[14:22:05] [Render thread/INFO]:   BeforeConstant found STRING constant: value = , stringValue = null
[14:22:05] [Render thread/INFO]:     BeforeConstant found a matching constant TYPE at ordinal 0
[14:22:05] [Render thread/INFO]:       BeforeConstant found LdcInsn 
[14:22:05] [Render thread/INFO]:   BeforeConstant found STRING constant: value = \\r, stringValue = null
[14:22:05] [Render thread/INFO]:     BeforeConstant found a matching constant TYPE at ordinal 1
[14:22:05] [Render thread/INFO]:       BeforeConstant found LdcInsn \\r
[14:22:05] [Render thread/INFO]:   BeforeConstant found STRING constant: value = 
, stringValue = null
[14:22:05] [Render thread/INFO]:     BeforeConstant found a matching constant TYPE at ordinal 2
[14:22:05] [Render thread/INFO]:       BeforeConstant found LdcInsn 

[14:22:05] [Render thread/INFO]:   BeforeConstant found STRING constant: value = \\n, stringValue = null
[14:22:05] [Render thread/INFO]:     BeforeConstant found a matching constant TYPE at ordinal 3
[14:22:05] [Render thread/INFO]:       BeforeConstant found LdcInsn \\n
[14:22:05] [Render thread/INFO]:   BeforeConstant found CLASS constant: value = Ljava/lang/String;, typeValue = null
[14:22:05] [Render thread/INFO]:   BeforeConstant found STRING constant: value = [{}] [CHAT] {}, stringValue = null
[14:22:05] [Render thread/INFO]:     BeforeConstant found a matching constant TYPE at ordinal 4
[14:22:05] [Render thread/INFO]:       BeforeConstant found LdcInsn [{}] [CHAT] {}
[14:22:05] [Render thread/INFO]:   BeforeConstant found STRING constant: value = [CHAT] {}, stringValue = null
[14:22:05] [Render thread/INFO]:     BeforeConstant found a matching constant TYPE at ordinal 5
[14:22:05] [Render thread/INFO]:       BeforeConstant found LdcInsn [CHAT] {}
[14:22:05] [Render thread/INFO]: Instantiating Mojang DFU
[14:22:06] [Render thread/INFO]: Backend library: LWJGL version 3.3.1 build 7
[14:22:06] [Render thread/WARN]: Applying workaround: Prevent the NVIDIA OpenGL driver from using broken optimizations (NVIDIA_THREADED_OPTIMIZATIONS)
[14:22:06] [Render thread/INFO]: OpenGL Vendor: Intel
[14:22:06] [Render thread/INFO]: OpenGL Renderer: Intel(R) Iris(R) Xe Graphics
[14:22:06] [Render thread/INFO]: OpenGL Version: 4.6.0 - Build 31.0.101.5186
[14:22:06] [Datafixer Bootstrap/INFO]: 188 Datafixer optimizations took 347 milliseconds
[14:22:07] [modloading-worker-0/INFO]: Fixing MC-151457. Crafting remainder for minecraft:pufferfish_bucket is now minecraft:bucket.
[14:22:07] [modloading-worker-0/INFO]: Fixing MC-151457. Crafting remainder for minecraft:salmon_bucket is now minecraft:bucket.
[14:22:07] [modloading-worker-0/INFO]: Fixing MC-151457. Crafting remainder for minecraft:cod_bucket is now minecraft:bucket.
[14:22:07] [modloading-worker-0/INFO]: Fixing MC-151457. Crafting remainder for minecraft:tropical_fish_bucket is now minecraft:bucket.
[14:22:07] [modloading-worker-0/INFO]: Fixing MC-151457. Crafting remainder for minecraft:axolotl_bucket is now minecraft:bucket.
[14:22:07] [modloading-worker-0/INFO]: Fixing MC-151457. Crafting remainder for minecraft:powder_snow_bucket is now minecraft:bucket.
[14:22:07] [modloading-worker-0/INFO]: Fixing MC-151457. Crafting remainder for minecraft:tadpole_bucket is now minecraft:bucket.
[14:22:07] [modloading-worker-0/INFO]: Scanning classes for industrialforegoing
[14:22:07] [modloading-worker-0/INFO]: Saving config to C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\config\toolstats.json.
[14:22:07] [modloading-worker-0/INFO]: Found FeaturePluginInstance for class PatchouliPlugin for plugin patchouli
[14:22:07] [modloading-worker-0/INFO]: Found FeaturePluginInstance for class CuriosPlugin for plugin curios
[14:22:07] [modloading-worker-0/INFO]: Constructed class PatchouliPlugin for plugin patchouli for mod industrialforegoing
[14:22:07] [modloading-worker-0/INFO]: Constructed class CuriosPlugin for plugin curios for mod industrialforegoing
[14:22:07] [modloading-worker-0/INFO]: Executing phase CONSTRUCTION for plugin class PatchouliPlugin
[14:22:08] [modloading-worker-0/INFO]: Loading compat for mod farmersdelight
[14:22:08] [modloading-worker-0/INFO]: Executing phase CONSTRUCTION for plugin class CuriosPlugin
[14:22:08] [modloading-worker-0/INFO]: Loading compat for mod appleskin
[14:22:08] [modloading-worker-0/INFO]: Executing phase PRE_INIT for plugin class PatchouliPlugin
[14:22:08] [modloading-worker-0/INFO]: Executing phase PRE_INIT for plugin class CuriosPlugin
[14:22:08] [modloading-worker-0/INFO]: Loading Collective version 7.84.
[14:22:08] [modloading-worker-0/INFO]: Constructing Mod: Spartan Weaponry
[14:22:08] [modloading-worker-0/INFO]: Initialising API! Version: 11
[14:22:08] [modloading-worker-0/INFO]: Spartan Weaponry API version 11 has been initalized!
[14:22:08] [modloading-worker-0/INFO]: Registering S2C receiver with id architectury:sync_ids
[14:22:08] [modloading-worker-0/INFO]: Registering C2S receiver with id architectury:sync_ids
[14:22:08] [modloading-worker-0/INFO]: Registering S2C receiver with id ftbultimine:send_shape
[14:22:08] [modloading-worker-0/INFO]: Registering C2S receiver with id ftbultimine:key_pressed
[14:22:08] [modloading-worker-0/INFO]: Registering C2S receiver with id ftbultimine:mode_changed
[14:22:08] [modloading-worker-0/INFO]: Registering S2C receiver with id ftbultimine:sync_config_from_server
[14:22:08] [modloading-worker-0/INFO]: Registering C2S receiver with id ftbultimine:sync_config_to_server
[14:22:08] [modloading-worker-0/INFO]: Registering S2C receiver with id ftbultimine:edit_config
[14:22:08] [modloading-worker-0/INFO]: Registering S2C receiver with id ftbultimine:sync_ultimine_time
[14:22:09] [modloading-worker-0/INFO]: Registering S2C receiver with id ftblibrary:edit_nbt
[14:22:09] [modloading-worker-0/INFO]: Registering C2S receiver with id ftblibrary:edit_nbt_response
[14:22:09] [modloading-worker-0/INFO]: Registering S2C receiver with id ftblibrary:sync_known_server_registries
[14:22:09] [modloading-worker-0/INFO]: Registering S2C receiver with id ftblibrary:edit_config
[14:22:09] [modloading-worker-0/INFO]: Registering S2C receiver with id ftbteams:sync_teams
[14:22:09] [modloading-worker-0/INFO]: Registering S2C receiver with id ftbteams:sync_message_history
[14:22:09] [modloading-worker-0/INFO]: Registering C2S receiver with id ftbteams:open_gui
[14:22:09] [modloading-worker-0/INFO]: Registering S2C receiver with id ftbteams:open_my_team_gui
[14:22:09] [modloading-worker-0/INFO]: Registering C2S receiver with id ftbteams:update_settings
[14:22:09] [modloading-worker-0/INFO]: Registering S2C receiver with id ftbteams:update_settings_response
[14:22:09] [modloading-worker-0/INFO]: Registering C2S receiver with id ftbteams:send_message
[14:22:09] [modloading-worker-0/INFO]: Registering S2C receiver with id ftbteams:send_message_response
[14:22:09] [modloading-worker-0/INFO]: Registering S2C receiver with id ftbteams:update_presence
[14:22:09] [modloading-worker-0/INFO]: Registering C2S receiver with id ftbteams:create_party
[14:22:09] [modloading-worker-0/INFO]: Registering C2S receiver with id ftbteams:player_gui_operation
